, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19
count,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0
mean,23.695081967213113,15.3792349726776,9.971584699453553,7.493442622950821,5.6224043715846985,4.963934426229509,5.042622950819672,2.8431693989071034
std,27.792526623529895,19.112299861736265,10.261078772956552,6.721726349398292,4.569534892337346,3.7802857377998187,4.121431217444943,2.7761830086505404
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,7.95,4.65,3.8499999999999996,2.8499999999999996,2.55,2.5,2.55,1.1
50%,17.1,9.5,7.1,5.9,4.5,3.8,3.8,2.0
75%,27.85,18.95,12.600000000000001,9.8,7.35,6.4,6.4,3.6500000000000004
max,210.4,133.7,69.9,56.9,40.7,26.9,33.1,18.4
