, 80_above, 70to79, 60to69 , 50to59 , 40to49, 30to39, 20to29, 10to19
count,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0
mean,64.50437158469946,37.505464480874316,25.27103825136612,22.14972677595629,18.786338797814206,16.801092896174865,15.726775956284152,5.2890710382513655
std,53.640519809185555,28.3393655593249,16.23979586679685,15.635314615054973,13.917073048462228,12.871550488803917,11.139090360254928,3.8847957659673034
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,23.049999999999997,14.2,12.149999999999999,10.6,9.9,8.350000000000001,8.05,2.7
50%,44.4,29.0,23.2,18.9,15.6,13.7,12.0,4.2
75%,95.55,54.8,34.05,29.950000000000003,23.95,21.65,20.5,6.6
max,285.0,123.2,78.5,85.4,86.5,88.4,57.4,24.2
